X(mm),Y(mm),I(pA)
-5.0,-5.0,-0.6274333
-4.0,-5.0,-0.08789482
-3.0,-5.0,0.23283060000000003
-2.0,-5.0,0.3434621
-1.0,-5.0,0.4374482
0.0,-5.0,0.5464557999999999
1.0,-5.0,0.5044362
2.0,-5.0,0.5720332
3.0,-5.0,0.6643952000000001
4.0,-5.0,0.6244055
5.0,-5.0,0.5050452999999999
-5.0,-4.0,-0.7798759
-4.0,-4.0,-0.7819059
-3.0,-4.0,-0.6519945
-2.0,-4.0,-0.6994933
-1.0,-4.0,-0.934349
0.0,-4.0,-0.568364
1.0,-4.0,-0.6160658999999999
2.0,-4.0,-0.5614624
3.0,-4.0,-0.6798038
4.0,-4.0,-0.1859373
5.0,-4.0,0.9378276999999999
-5.0,-3.0,-1.1629120000000002
-4.0,-3.0,0.1447311
-3.0,-3.0,0.4504397
-2.0,-3.0,0.5476738
-1.0,-3.0,0.4869787
0.0,-3.0,0.342447
1.0,-3.0,0.6991073
2.0,-3.0,1.018011
3.0,-3.0,0.5156007
4.0,-3.0,0.28195489999999995
5.0,-3.0,0.5781227999999999
-5.0,-2.0,-0.5762805000000001
-4.0,-2.0,-0.8296079000000001
-3.0,-2.0,-0.8777157
-2.0,-2.0,-0.8361033999999999
-1.0,-2.0,-0.8509211999999999
0.0,-2.0,-0.616066
1.0,-2.0,-0.8980142999999999
2.0,-2.0,-0.4961008
3.0,-2.0,-0.8064669999999999
4.0,-2.0,-0.3586789
5.0,-2.0,1.00644
-5.0,-1.0,-1.229085
-4.0,-1.0,0.1960886
-3.0,-1.0,0.3915715
-2.0,-1.0,0.6574935
-1.0,-1.0,0.6244054
0.0,-1.0,0.6680489000000001
1.0,-1.0,0.8026338
2.0,-1.0,0.701746
3.0,-1.0,0.7088505
4.0,-1.0,0.8097387
5.0,-1.0,0.636585
-5.0,0.0,-0.7108604
-4.0,0.0,-0.8220972
-3.0,0.0,-1.0975499999999998
-2.0,0.0,-0.7376548
-1.0,0.0,-0.9231845999999999
0.0,0.0,-0.7914461
1.0,0.0,-0.7817028
2.0,0.0,-0.7526757000000001
3.0,0.0,-0.6365675
4.0,0.0,-0.5843997000000001
5.0,0.0,0.5028121
-5.0,1.0,-0.4768169
-4.0,1.0,0.1940586
-3.0,1.0,0.5965951
-2.0,1.0,0.5970012
-1.0,1.0,0.5216905
0.0,1.0,0.8511494000000001
1.0,1.0,0.7007312
2.0,1.0,0.7539155
3.0,1.0,0.8160314
4.0,1.0,0.40375120000000003
5.0,1.0,0.8093327
-5.0,2.0,-0.37471489999999996
-4.0,2.0,-0.8785274
-3.0,2.0,-0.6826456
-2.0,2.0,-1.009657
-1.0,2.0,-1.10364
0.0,2.0,-0.8911129
1.0,2.0,-1.158445
2.0,2.0,-0.6099763
3.0,2.0,-0.6243883
4.0,2.0,-0.5444116
5.0,2.0,-0.1232144
-5.0,3.0,-0.42789720000000003
-4.0,3.0,0.38284290000000004
-3.0,3.0,0.1595497
-2.0,3.0,0.4640405
-1.0,3.0,0.6999193
0.0,3.0,1.02004
1.0,3.0,0.6037
2.0,3.0,0.608775
3.0,3.0,0.7535098
4.0,3.0,0.25211490000000003
5.0,3.0,0.5519364999999999
-5.0,4.0,-0.8300138
-4.0,4.0,-0.7662759
-3.0,4.0,-0.8576202
-2.0,4.0,-0.9347550000000001
-1.0,4.0,-0.8028133
0.0,4.0,-0.17193119999999998
1.0,4.0,-0.176397
2.0,4.0,-0.1270712
3.0,4.0,-0.1721343
4.0,4.0,-0.6777736999999999
5.0,4.0,-0.6517913000000001
-5.0,5.0,-0.222475
-4.0,5.0,0.6578997
-3.0,5.0,0.7482318
-2.0,5.0,0.7114900000000001
-1.0,5.0,0.2606406
0.0,5.0,0.09053183000000001
1.0,5.0,0.5947685
2.0,5.0,0.537524
3.0,5.0,0.3105772
4.0,5.0,0.3081413
5.0,5.0,0.4151188
